index,body_type,pitcher_form,pitcher_animation,animation_number,animation_filename
1,EPBT_MIDIUM,PF_COMMON,EPAT_STARTUP_IDL,1,pcmb@stidl_001
2,EPBT_MIDIUM,PF_COMMON,EPAT_HIT_AFTER,1,pcmb@hitaf1
3,EPBT_MIDIUM,PF_COMMON,EPAT_HIT_AFTER,2,pcmb@hitaf2
4,EPBT_MIDIUM,PF_COMMON,EPAT_YES,1,pcmb@yes
5,EPBT_MIDIUM,PF_COMMON,EPAT_NO,1,pcmb@no
6,EPBT_MIDIUM,PF_COMMON,EPAT_STARTUP,1,pcmb@st_001
7,EPBT_MIDIUM,PF_OVER,EPAT_PITCHING,1,pcmb@ov_001
8,EPBT_MIDIUM,PF_THREEQUARTER,EPAT_PITCHING,1,pcmb@th_001
9,EPBT_MIDIUM,PF_SIDEARM,EPAT_PITCHING,1,pcmb@si_001
10,EPBT_MIDIUM,PF_UNDER,EPAT_PITCHING,1,pcmb@un_001
11,EPBT_MIDIUM,PF_COMMON,EPAT_BACK,1,pcmb@back_001
12,EPBT_MIDIUM,PF_COMMON,EPAT_CEREMONY,1,pcmb@cr_001
13,EPBT_MIDIUM,PF_COMMON,EPAT_CEREMONY,2,pcmb@cr_002
14,EPBT_WOMAN,PF_COMMON,EPAT_STARTUP_IDL,1,pcfa@stidl_001
15,EPBT_WOMAN,PF_COMMON,EPAT_HIT_AFTER,1,pcfa@hitaf1
16,EPBT_WOMAN,PF_COMMON,EPAT_HIT_AFTER,2,pcfa@hitaf2
17,EPBT_WOMAN,PF_COMMON,EPAT_YES,1,pcfa@yes
18,EPBT_WOMAN,PF_COMMON,EPAT_NO,1,pcfa@no
19,EPBT_WOMAN,PF_COMMON,EPAT_STARTUP,1,pcfa@st_001
20,EPBT_WOMAN,PF_OVER,EPAT_PITCHING,1,pcfa@ov_001
21,EPBT_WOMAN,PF_THREEQUARTER,EPAT_PITCHING,1,pcfa@th_001
22,EPBT_WOMAN,PF_SIDEARM,EPAT_PITCHING,1,pcfa@si_001
23,EPBT_WOMAN,PF_UNDER,EPAT_PITCHING,1,pcfa@un_001
24,EPBT_WOMAN,PF_COMMON,EPAT_BACK,1,pcfa@back_001
25,EPBT_WOMAN,PF_COMMON,EPAT_CEREMONY,1,pcfa@cr_001
26,EPBT_WOMAN,PF_COMMON,EPAT_CEREMONY,2,pcfa@cr_002
27,EPBT_LARGE,PF_COMMON,EPAT_STARTUP_IDL,1,pcmc@stidl_001
28,EPBT_LARGE,PF_COMMON,EPAT_HIT_AFTER,1,pcmc@hitaf1
29,EPBT_LARGE,PF_COMMON,EPAT_HIT_AFTER,2,pcmc@hitaf2
30,EPBT_LARGE,PF_COMMON,EPAT_YES,1,pcmc@yes
31,EPBT_LARGE,PF_COMMON,EPAT_NO,1,pcmc@no
32,EPBT_LARGE,PF_COMMON,EPAT_STARTUP,1,pcmc@st_001
33,EPBT_LARGE,PF_OVER,EPAT_PITCHING,1,pcmc@ov_001
34,EPBT_LARGE,PF_THREEQUARTER,EPAT_PITCHING,1,pcmc@th_001
35,EPBT_LARGE,PF_SIDEARM,EPAT_PITCHING,1,pcmc@si_001
36,EPBT_LARGE,PF_UNDER,EPAT_PITCHING,1,pcmc@un_001
37,EPBT_LARGE,PF_COMMON,EPAT_BACK,1,pcmc@back_001
38,EPBT_LARGE,PF_COMMON,EPAT_CEREMONY,1,pcmc@cr_001
39,EPBT_LARGE,PF_COMMON,EPAT_CEREMONY,2,pcmc@cr_002
40,EPBT_MIDIUM,PF_COMMON,EPAT_WINLOSE,1,pcmb@win_001
41,EPBT_MIDIUM,PF_COMMON,EPAT_WINLOSE,1,pcmb@lose_001
42,EPBT_WOMAN,PF_COMMON,EPAT_WINLOSE,1,pcfa@win_001
43,EPBT_WOMAN,PF_COMMON,EPAT_WINLOSE,1,pcfa@lose_001
44,EPBT_LARGE,PF_COMMON,EPAT_WINLOSE,1,pcmc@win_001
45,EPBT_LARGE,PF_COMMON,EPAT_WINLOSE,1,pcmc@lose_001
46,EPBT_MIDIUM,PF_COMMON,EPAT_MENUUI,1,pcmb@menu_001
47,EPBT_WOMAN,PF_COMMON,EPAT_MENUUI,1,pcfa@menu_001
48,EPBT_LARGE,PF_COMMON,EPAT_MENUUI,1,pcmc@menu_001
