sid,name,level,max_exp,max_cum_exp,better_accuracy_sq,better_accuracy_op,better_accuracy_cl,better_power_sq,better_power_op,better_power_cl,pitcher_speed_ov,pitcher_speed_tq,pitcher_speed_sa,pitcher_speed_un,pitcher_focus_ov,pitcher_focus_tq,pitcher_focus_sa,pitcher_focus_un,pitcher_breakingball_ov,pitcher_breakingball_tq,pitcher_breakingball_sa,pitcher_breakingball_un
1,Lv1,1,30,30,3,2,4,3,4,2,5,4,3,2,2,3,4,5,3,3,3,3
2,Lv2,2,60,90,4,3,5,4,5,3,6,5,4,3,3,4,5,6,3,3,3,3
3,Lv3,3,60,150,5,4,6,5,6,4,7,6,5,4,4,5,6,7,3,3,3,3
4,Lv4,4,90,240,6,5,7,6,7,5,8,7,6,5,5,6,7,8,3,3,3,3
5,Lv5,5,90,330,7,6,8,7,8,6,9,8,7,6,6,7,8,9,3,3,3,3
6,Lv6,6,120,450,8,7,9,8,9,7,10,9,8,7,7,8,9,10,3,3,3,3
7,Lv7,7,120,570,9,8,10,9,10,8,11,10,9,8,8,9,10,11,3,3,3,3
8,Lv8,8,150,720,10,9,11,10,11,9,12,11,10,9,9,10,11,12,3,3,3,3
9,Lv9,9,180,900,11,10,12,11,12,10,13,12,11,10,10,11,12,13,3,3,3,3
10,Lv10,10,180,1080,12,11,13,12,13,11,14,13,12,11,11,12,13,14,3,3,3,3
11,Lv11,11,210,1290,13,12,14,13,14,12,15,14,13,12,12,13,14,15,4,4,4,4
12,Lv12,12,210,1500,14,13,15,14,15,13,16,15,14,13,13,14,15,16,4,4,4,4
13,Lv13,13,240,1740,15,14,16,15,16,14,17,16,15,14,14,15,16,17,4,4,4,4
14,Lv14,14,270,2010,16,15,17,16,17,15,18,17,16,15,15,16,17,18,4,4,4,4
15,Lv15,15,270,2280,17,16,18,17,18,16,19,18,17,16,16,17,18,19,4,4,4,4
16,Lv16,16,300,2580,18,17,19,18,19,17,20,19,18,17,17,18,19,20,4,4,4,4
17,Lv17,17,300,2880,19,18,20,19,20,18,21,20,19,18,18,19,20,21,4,4,4,4
18,Lv18,18,330,3210,20,19,21,20,21,19,22,21,20,19,19,20,21,22,4,4,4,4
19,Lv19,19,360,3570,21,20,22,21,22,20,23,22,21,20,20,21,22,23,4,4,4,4
20,Lv20,20,360,3930,22,21,23,22,23,21,24,23,22,21,21,22,23,24,4,4,4,4
21,Lv21,21,480,4410,23,22,24,23,24,22,25,24,23,22,22,23,24,25,5,5,5,5
22,Lv22,22,510,4920,24,23,25,24,25,23,26,25,24,23,23,24,25,26,5,5,5,5
23,Lv23,23,540,5460,25,24,26,25,26,24,27,26,25,24,24,25,26,27,5,5,5,5
24,Lv24,24,570,6030,26,25,27,26,27,25,28,27,26,25,25,26,27,28,5,5,5,5
25,Lv25,25,600,6630,27,26,28,27,28,26,29,28,27,26,26,27,28,29,5,5,5,5
26,Lv26,26,630,7260,28,27,29,28,29,27,30,29,28,27,27,28,29,30,5,5,5,5
27,Lv27,27,660,7920,29,28,30,29,30,28,31,30,29,28,28,29,30,31,5,5,5,5
28,Lv28,28,690,8610,30,29,31,30,31,29,32,31,30,29,29,30,31,32,5,5,5,5
29,Lv29,29,720,9330,31,30,32,31,32,30,33,32,31,30,30,31,32,33,5,5,5,5
30,Lv30,30,750,10080,32,31,33,32,33,31,34,33,32,31,31,32,33,34,5,5,5,5
31,Lv31,31,870,10950,33,32,34,33,34,32,35,34,33,32,32,33,34,35,6,6,6,6
32,Lv32,32,900,11850,34,33,35,34,35,33,36,35,34,33,33,34,35,36,6,6,6,6
33,Lv33,33,930,12780,35,34,36,35,36,34,37,36,35,34,34,35,36,37,6,6,6,6
34,Lv34,34,960,13740,36,35,37,36,37,35,38,37,36,35,35,36,37,38,6,6,6,6
35,Lv35,35,990,14730,37,36,38,37,38,36,39,38,37,36,36,37,38,39,6,6,6,6
36,Lv36,36,1020,15750,38,37,39,38,39,37,40,39,38,37,37,38,39,40,6,6,6,6
37,Lv37,37,1050,16800,39,38,40,39,40,38,41,40,39,38,38,39,40,41,6,6,6,6
38,Lv38,38,1080,17880,40,39,41,40,41,39,42,41,40,39,39,40,41,42,6,6,6,6
39,Lv39,39,1110,18990,41,40,42,41,42,40,43,42,41,40,40,41,42,43,6,6,6,6
40,Lv40,40,1320,20310,42,41,43,42,43,41,44,43,42,41,41,42,43,44,6,6,6,6
41,Lv41,41,1350,21660,43,42,44,43,44,42,45,44,43,42,42,43,44,45,7,7,7,7
42,Lv42,42,1380,23040,44,43,45,44,45,43,46,45,44,43,43,44,45,46,7,7,7,7
43,Lv43,43,1410,24450,45,44,46,45,46,44,47,46,45,44,44,45,46,47,7,7,7,7
